Close,High,Low,Open,Volume
QQQ,QQQ,QQQ,QQQ,QQQ
223.8176727,223.9343102,217.6461489,222.2626498,55665600
223.5261383,226.9083288,222.6125546,222.670866,42784300
226.8013916,227.0346517,222.3306692,223.905149,50691800
227.4817505,227.860789,225.4796491,225.9267273,25776000
229.0075989,229.0659102,225.4893293,227.9093529,33383400
230.037796,230.7958728,228.7354605,229.6198735,37228700
228.4244537,231.1068783,227.1123897,229.6879201,38716100
232.9535065,233.546363,229.0076153,229.5810298,47365600
234.7612,234.8875362,231.2235034,232.8076818,32937300
236.4620514,237.3173089,233.7115868,233.8962492,35046300
239.2999725,240.8550104,237.6380257,238.1628572,58084400
227.4428558,236.7438826,227.3845445,235.35408,72919400
229.2505951,233.6435498,225.2269504,232.3703697,72034800
232.039917,232.7202405,224.964523,225.9072623,45307400
236.0246582,237.5213697,232.3800527,236.9285132,48890100
236.773056,238.6002234,235.9080701,237.5311329,34749300
237.4144592,237.6574329,235.6747741,236.452278,30578600
237.3755951,240.0580194,235.6358951,239.7956037,49422100
240.2223663,240.3489223,236.9511202,237.2431838,24068700
242.2669373,244.5159167,241.273891,241.8288269,32767400
237.2724152,242.7439583,235.7633554,241.5075011,46032400
239.5311279,239.8329369,234.7702976,237.3600374,36940800
233.8746185,239.4630025,233.3488742,239.2877494,52824600
236.4253693,236.4351146,231.0803973,233.6311852,34377800
241.0596771,241.6048824,236.1722758,236.3572593,38909200
243.8733215,244.8761129,240.553393,241.0985982,34689200
245.5283966,247.5534551,245.06108,246.3364739,31956500
251.564621,252.0903354,248.6827882,248.7022641,34589000
249.8316193,253.988846,249.5298103,251.3114874,36578200
253.1223297,253.1515361,249.7245279,251.1654443,30426300
255.2545471,255.9263232,250.8247466,255.0501026,40312900
256.9972229,257.2503645,252.4116461,255.1084657,32885300
251.7106934,262.6635254,250.8831401,259.8595957,64108100
253.4923401,253.9012589,246.0833571,249.16962,72230500
254.0083313,255.7510568,250.6884027,254.9137583,54523900
252.2753448,252.9179145,248.8677973,251.2043954,47594100
252.5674286,253.4339038,250.3768624,252.7329214,35137900
259.7329712,260.3657954,251.9540376,253.2099407,40610100
257.0264282,261.3199414,256.1794141,261.3101961,43243800
257.9318848,258.8665478,255.6147476,257.5229957,29865500
251.1946869,258.2336877,249.7732313,257.5229897,51363500
248.8094025,250.1432093,244.6814112,247.329549,54054500
253.2489166,253.6383447,249.6758764,250.4644779,36445700
250.0263672,252.986074,249.7343036,252.4603297,31302400
252.9081421,253.7746469,251.0972884,251.5743355,27556900
254.2322845,254.7969508,249.7732481,250.9318168,41774500
258.769165,258.9249422,253.9596528,258.8859905,53686300
262.2643433,263.013993,260.7942203,260.9207912,32081600
263.2379456,263.33531,261.0084273,261.7580772,24911300
263.8902283,264.3478145,262.8290241,263.7247354,21612100
267.3854065,267.7164218,263.0529412,263.6955109,28048200
264.2991638,267.6190928,262.1378036,266.8402068,44969400
263.1697693,264.7956694,259.6259352,264.5911951,35088400
258.1850586,263.2963808,257.6398533,262.0014959,43104300
264.6788025,265.6329265,260.3074154,260.3561124,38773400
265.2824707,267.5703718,264.338092,265.4577089,31895700
264.9709473,266.1781834,263.5689822,265.9055807,30799500
268.0475159,268.5537695,265.0099344,266.694218,24803000
270.6274719,271.1045192,267.6483037,269.1184268,23529500
268.8068237,271.6496753,268.2908249,270.5884712,31999400
272.535614,273.0224065,267.5995314,268.0084502,27723400
274.4244385,274.8820247,272.0780947,272.7304098,34748900
276.13797,278.4453621,273.8402935,277.7151732,36418500
278.30896,278.5036888,274.9111582,275.358999,34866600
284.2478638,284.5010054,278.2797831,279.5649224,42216700
283.361908,286.0879638,281.0837226,285.2312043,49482700
284.8027954,285.4356197,283.2450536,284.6080665,28021000
287.0907898,288.9113892,284.8904779,285.3286031,36321000
291.9975586,292.114384,287.9766487,289.7582958,36216200
294.7625732,295.4830166,289.0476346,295.2688267,50836800
279.8181458,290.7320283,276.8973899,290.2257747,110083300
276.0891724,281.2978571,264.6203443,278.016881,123959000
262.8192444,270.8707805,262.5368965,265.0292713,99568600
270.5398254,272.6524884,265.7887255,268.3590044,64837900
265.1460876,274.7456495,263.4131078,273.5189231,69667500
263.3060913,267.9500813,259.8498465,266.9083382,71809000
267.8917236,269.8973069,265.7498242,267.1128376,38525200
271.6886597,273.0419572,267.8624773,271.6594533,41849900
267.3561401,272.9542534,267.0056638,272.4869517,42321000
263.1794434,267.1516562,259.6355805,260.4825945,81570800
259.8206787,264.9027947,255.692687,264.610731,86251100
260.4437561,260.5800426,253.2392027,255.5368789,57168600
265.2824707,265.866598,259.499373,262.8582237,41128900
257.182251,265.1461702,256.2962849,264.9611866,48837300
258.3797913,261.6023559,254.3199279,254.4854504,70631700
264.3867493,265.2045571,257.3185124,258.8859998,55242400
269.8778076,269.8778076,264.4938831,269.2741599,58438300
268.6607971,270.3742865,268.0961012,269.3130824,27050000
